Institute Code,Institute,Program,Category,Quota,Opening Rank,Closing Rank
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)",Computer Science and Engineering (Shift I),OPEN,All India,2505,47937
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),OPEN,All India,8383,18881
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",OPEN,All India,15482,24956
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Mechanical Engineering (Shift I),OPEN,All India,16230,48065
800091,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering(Artificial Intelligence &
Machine Learning)  (Shift I)",OPEN,All India,16880,48907
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),OPEN,Home State,18586,24098
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),OPEN(GIRL),Home State,19512,24827
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,19848,22358
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",OPEN,All India,21960,33515
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering(Data
Science) (Shift I)",OPEN,All India,22962,61554
800133,"NOIDA INSTITUTE OF ENGG. &
TECHNOLOGY,GAUTAM BUDDH NAGAR (0133)",Computer Science (Shift I),OPEN,All India,23441,243121
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),BC,Home State,24687,28513
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Computer Science and Engineering (Shift I),OPEN,All India,24934,35379
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",OPEN,Home State,25205,29623
800133,"NOIDA INSTITUTE OF ENGG. &
TECHNOLOGY,GAUTAM BUDDH NAGAR (0133)",Computer Science and Engineering (Shift I),OPEN,All India,25480,214530
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",OPEN(GIRL),Home State,25679,31115
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),EWS(OPEN),Home State,26818,28621
,"TECHNICAL CAMPUS,AGRA (0004)",,,,,
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,27071,32196
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Civil Engineering (Shift I)(FW),OPEN(TF),Home State,27621,56565
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",OPEN,All India,27939,31731
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),OPEN(AF),Home State,28332,28332
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),BC(Girl),Home State,29215,30281
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",BC,Home State,29791,35178
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)(FW)",OPEN(TF),Home State,30049,35213
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",EWS(OPEN),Home State,30121,32199
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,30583,62320
